true,predicted,count
Corn_(maize)___Northern_Leaf_Blight,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,12
Tomato___Late_blight,Tomato___Early_blight,7
Tomato___Target_Spot,Tomato___Early_blight,7
Potato___Late_blight,Tomato___Late_blight,6
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Spider_mites Two-spotted_spider_mite,5
Tomato___Septoria_leaf_spot,Tomato___Early_blight,5
Tomato___Early_blight,Tomato___Late_blight,4
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Bacterial_spot,4
Tomato___Early_blight,Tomato___Septoria_leaf_spot,4
Tomato___Bacterial_spot,Tomato___Septoria_leaf_spot,3
Soybean___healthy,"Pepper,_bell___healthy",3
Tomato___Early_blight,Tomato___Target_Spot,3
Tomato___Late_blight,Tomato___Leaf_Mold,3
Tomato___Late_blight,Potato___Late_blight,3
Tomato___Late_blight,Tomato___Bacterial_spot,3
