class,precision,recall,f1,support
Tomato___Early_blight,0.8670886075949367,0.9133333333333333,0.8896103896103896,150
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.8620689655172413,0.974025974025974,0.9146341463414634,77
Tomato___Late_blight,0.9537366548042705,0.9337979094076655,0.9436619718309859,287
Tomato___Target_Spot,0.9565217391304348,0.9383886255924171,0.9473684210526315,211
Corn_(maize)___Northern_Leaf_Blight,0.9854014598540146,0.9183673469387755,0.9507042253521126,147
Tomato___Septoria_leaf_spot,0.9694656488549618,0.9584905660377359,0.9639468690702088,265
Potato___Late_blight,0.972972972972973,0.96,0.9664429530201343,150
Tomato___Bacterial_spot,0.9720496894409938,0.9811912225705329,0.9765990639625585,319
Potato___healthy,1.0,0.9565217391304348,0.9777777777777777,23
Peach___healthy,0.9642857142857143,1.0,0.9818181818181818,54
Tomato___Leaf_Mold,0.9726027397260274,0.993006993006993,0.9826989619377162,143
Tomato___Spider_mites Two-spotted_spider_mite,0.9765625,0.9920634920634921,0.984251968503937,252
Apple___Apple_scab,0.9791666666666666,1.0,0.9894736842105263,94
Tomato___healthy,0.9795081967213115,1.0,0.989648033126294,239
Strawberry___healthy,0.9855072463768116,1.0,0.9927007299270073,68
"Pepper,_bell___healthy",0.9866666666666667,1.0,0.9932885906040269,222
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9987421383647799,0.9887920298879203,0.9937421777221527,803
Strawberry___Leaf_scorch,0.9881656804733728,1.0,0.9940476190476191,167
Soybean___healthy,1.0,0.9921465968586387,0.9960578186596584,764
Cherry_(including_sour)___healthy,1.0,0.9921875,0.996078431372549,128
Potato___Early_blight,1.0,0.9933333333333333,0.9966555183946488,150
"Pepper,_bell___Bacterial_spot",0.9933774834437086,1.0,0.9966777408637874,150
Cherry_(including_sour)___Powdery_mildew,1.0,0.9936708860759493,0.9968253968253968,158
Peach___Bacterial_spot,1.0,0.9941860465116279,0.9970845481049563,344
Grape___Black_rot,0.9943820224719101,1.0,0.9971830985915493,177
Grape___Esca_(Black_Measles),1.0,0.9951690821256038,0.9975786924939467,207
Blueberry___healthy,0.9955947136563876,1.0,0.9977924944812362,226
Apple___healthy,1.0,0.9959349593495935,0.9979633401221996,246
Orange___Haunglongbing_(Citrus_greening),0.9987908101571947,1.0,0.999395039322444,826
Grape___healthy,1.0,1.0,1.0,64
Corn_(maize)___Common_rust_,1.0,1.0,1.0,179
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,162
Squash___Powdery_mildew,1.0,1.0,1.0,275
Raspberry___healthy,1.0,1.0,1.0,55
Apple___Black_rot,1.0,1.0,1.0,93
Apple___Cedar_apple_rust,1.0,1.0,1.0,41
Corn_(maize)___healthy,1.0,1.0,1.0,174
Tomato___Tomato_mosaic_virus,1.0,1.0,1.0,56
